0,RELIANCE,Reliance Industries Limited
1,TCS,Tata Consultancy Services Limited
2,HDFCBANK,HDFC Bank Limited
3,INFY,Infosys Limited
4,HINDUNILVR,Hindustan Unilever Limited
5,HDFC,Housing Development Finance Corporation Limited
6,ICICIBANK,ICICI Bank Limited
7,KOTAKBANK,Kotak Mahindra Bank Limited
8,SBIN,State Bank of India
9,BAJFINANCE,Bajaj Finance Limited
10,BHARTIARTL,Bharti Airtel Limited
11,ITC,ITC Limited
12,HCLTECH,HCL Technologies Limited
13,ASIANPAINT,Asian Paints Limited
14,WIPRO,Wipro Limited
15,AXISBANK,Axis Bank Limited
16,MARUTI,Maruti Suzuki India Limited
17,LT,Larsen & Toubro Limited
18,ULTRACEMCO,UltraTech Cement Limited
19,DMART,Avenue Supermarts Limited
20,ADANIGREEN,Adani Green Energy Limited
21,BAJAJFINSV,Bajaj Finserv Limited
22,SUNPHARMA,Sun Pharmaceutical Industries Limited
23,ADANIPORTS,Adani Ports and Special Economic Zone Limited
24,HDFCLIFE,HDFC Life Insurance Company Limited
25,TITAN,Titan Company Limited
26,ONGC,Oil & Natural Gas Corporation Limited
27,HINDZINC,Hindustan Zinc Limited
28,ADANIENT,Adani Enterprises Limited
29,JSWSTEEL,JSW Steel Limited
30,POWERGRID,Power Grid Corporation of India Limited
31,SHREECEM,SHREE CEMENT LIMITED
32,BAJAJ-AUTO,Bajaj Auto Limited
33,ATGL,Adani Total Gas Limited
34,NTPC,NTPC Limited
35,TATAMOTORS,Tata Motors Limited
36,ADANITRANS,Adani Transmission Limited
37,M&M,Mahindra & Mahindra Limited
38,DIVISLAB,Divi's Laboratories Limited
39,TECHM,Tech Mahindra Limited
40,DABUR,Dabur India Limited
41,GRASIM,Grasim Industries Limited
42,BPCL,Bharat Petroleum Corporation Limited
43,PIDILITIND,Pidilite Industries Limited
44,TATASTEEL,Tata Steel Limited
45,SBILIFE,SBI Life Insurance Company Limited
46,BRITANNIA,Britannia Industries Limited
47,SBICARD,SBI Cards and Payment Services Limited
48,IOC,Indian Oil Corporation Limited
49,VEDL,Vedanta Limited
50,COALINDIA,Coal India Limited
